NbackData
Subject,Handedness,Block,BlockType,Stim.ACC,Stim.RTTime,Stim.RT,StimType,TargetType
11684,Right,1,NULL,NULL,NULL,NULL,NULL,NULL
11684,Right,2,NULL,NULL,NULL,NULL,NULL,NULL
11684,Right,3,0-Back,1,194712,1340,NegFace,nonlure
11684,Right,4,0-Back,1,197712,1835,NegFace,nonlure
11684,Right,5,0-Back,1,199920,1544,NegFace,target
11684,Right,6,0-Back,1,202040,1167,NegFace,lure
11684,Right,7,0-Back,1,204376,999,NegFace,nonlure
11684,Right,8,0-Back,1,206872,998,NegFace,target
11684,Right,9,0-Back,1,209195,817,NegFace,nonlure
11684,Right,10,0-Back,1,211896,1014,NegFace,lure
11684,Right,11,0-Back,1,214376,997,NegFace,lure
11684,Right,12,0-Back,1,216640,756,NegFace,nonlure
11684,Right,13,NULL,NULL,NULL,NULL,NULL,NULL
11684,Right,14,2-Back,0,0,0,NeutFace,nonlure
11684,Right,15,2-Back,0,0,0,NeutFace,nonlure
11684,Right,16,2-Back,0,227633,1235,NeutFace,target
11684,Right,17,2-Back,1,230320,1418,NeutFace,nonlure
11684,Right,18,2-Back,1,232536,1130,NeutFace,nonlure
11684,Right,19,2-Back,1,234912,1009,NeutFace,lure
11684,Right,20,2-Back,1,237705,1298,NeutFace,nonlure
11684,Right,21,2-Back,1,240184,1280,NeutFace,lure
11684,Right,22,2-Back,0,242153,744,NeutFace,target
11684,Right,23,2-Back,1,244984,1070,NeutFace,nonlure
11684,Right,24,NULL,NULL,NULL,NULL,NULL,NULL
11684,Right,25,0-Back,0,0,0,PosFace,target
11684,Right,26,0-Back,1,252760,842,PosFace,nonlure
11684,Right,27,0-Back,1,255633,1210,PosFace,nonlure
11684,Right,28,0-Back,1,258072,1152,PosFace,target
11684,Right,29,0-Back,1,260584,1167,PosFace,lure
11684,Right,30,0-Back,1,263128,1206,PosFace,nonlure
11684,Right,31,0-Back,1,265408,982,PosFace,nonlure
11684,Right,32,0-Back,1,267784,853,PosFace,nonlure
11684,Right,33,0-Back,1,270288,860,PosFace,lure
11684,Right,34,0-Back,1,272833,908,PosFace,lure
11684,Right,35,NULL,NULL,NULL,NULL,NULL,NULL
11684,Right,36,2-Back,1,278312,874,NegFace,nonlure
11684,Right,37,2-Back,1,280763,820,NegFace,nonlure
11684,Right,38,2-Back,1,283272,832,NegFace,lure
11684,Right,39,2-Back,1,285912,967,NegFace,lure
11684,Right,40,2-Back,1,288440,991,NegFace,nonlure
11684,Right,41,2-Back,1,291128,1175,NegFace,nonlure
11684,Right,42,2-Back,1,293392,934,NegFace,nonlure
11684,Right,43,2-Back,0,296176,1221,NegFace,target
11684,Right,44,2-Back,0,298363,911,NegFace,target
11684,Right,45,2-Back,1,300690,734,NegFace,nonlure
11684,Right,46,NULL,NULL,NULL,NULL,NULL,NULL
11684,Right,47,2-Back,0,0,0,Place,nonlure
11684,Right,48,2-Back,1,309144,1171,Place,nonlure
11684,Right,49,2-Back,0,311728,1258,Place,target
11684,Right,50,2-Back,1,314296,1322,Place,nonlure
11684,Right,51,2-Back,1,316553,1075,Place,nonlure
11684,Right,52,2-Back,1,318704,721,Place,nonlure
11684,Right,53,2-Back,0,321192,712,Place,target
11684,Right,54,2-Back,1,323864,879,Place,lure
11684,Right,55,2-Back,1,326609,1119,Place,nonlure
11684,Right,56,2-Back,1,328744,757,Place,lure
11684,Right,57,NULL,NULL,NULL,NULL,NULL,NULL
11684,Right,58,0-Back,1,334753,1261,NeutFace,nonlure
11684,Right,59,0-Back,1,336944,955,NeutFace,target
11684,Right,60,0-Back,1,339931,1438,NeutFace,nonlure
11684,Right,61,0-Back,1,341979,982,NeutFace,nonlure
11684,Right,62,0-Back,0,344403,902,NeutFace,target
11684,Right,63,0-Back,1,346872,867,NeutFace,nonlure
11684,Right,64,0-Back,1,349272,770,NeutFace,lure
11684,Right,65,0-Back,1,351864,858,NeutFace,lure
11684,Right,66,0-Back,1,354216,706,NeutFace,nonlure
11684,Right,67,0-Back,1,356849,840,NeutFace,lure
11684,Right,68,NULL,NULL,NULL,NULL,NULL,NULL
11684,Right,69,0-Back,1,362520,1006,Place,nonlure
11684,Right,70,0-Back,0,365712,1694,Place,nonlure
11684,Right,71,0-Back,1,367656,1133,Place,target
11684,Right,72,0-Back,1,369896,868,Place,nonlure
11684,Right,73,0-Back,1,372840,1315,Place,lure
